ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-10,159949.4403794708,178999.74973160733,310243.1434098378,159949.4403794708,159949.4403794708,81834.52876834889,81834.52876834889,81834.52876834889,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,83160.0242118384,83160.0242118384,83160.0242118384,0.0,0.0,0.0,241783.96914781968
2020-02-17,159880.22140036436,144799.67861737168,282469.5786407849,159880.22140036436,159880.22140036436,52602.33352688641,52602.33352688641,52602.33352688641,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,53927.82897037593,53927.82897037593,53927.82897037593,0.0,0.0,0.0,212482.55492725078
2020-02-24,159811.00242125796,114409.19871288202,256446.53111049993,159811.00242125796,159811.00242125796,22119.32497735476,22119.32497735476,22119.32497735476,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,23444.82042084428,23444.82042084428,23444.82042084428,0.0,0.0,0.0,181930.32739861272
2020-03-02,159741.7834421516,97705.13925313004,233344.22929789772,159741.7834421516,159741.7834421516,6581.109767982244,6581.109767982244,6581.109767982244,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,7906.60521147176,7906.60521147176,7906.60521147176,0.0,0.0,0.0,166322.89321013383
2020-03-09,159672.56446304516,100342.78895080092,237189.56043522092,159672.56446304516,159672.56446304516,5816.673469104661,5816.673469104661,5816.673469104661,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,7142.1689125941775,7142.1689125941775,7142.1689125941775,0.0,0.0,0.0,165489.23793214982
2020-03-16,159603.34548393879,96992.55197819263,235309.7999315512,159603.34548393879,159603.34548393879,7959.821380322123,7959.821380322123,7959.821380322123,-1325.4954434895162,-1325.4954434895162,-1325.4954434895162,9285.31682381164,9285.31682381164,9285.31682381164,0.0,0.0,0.0,167563.16686426091
2020-03-23,159534.12650483238,94751.37395688132,230964.872402054,159534.12650483238,159534.12650483238,3086.9086385916057,3086.9086385916057,3086.9086385916057,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,4412.404082081122,4412.404082081122,4412.404082081122,0.0,0.0,0.0,162621.035143424
2020-03-30,159464.90752014238,90948.36657339857,219113.27917784403,159464.90752014238,159464.90752014238,-8594.365298708732,-8594.365298708732,-8594.365298708732,-1325.4954434895162,-1325.4954434895162,-1325.4954434895162,-7268.869855219215,-7268.869855219215,-7268.869855219215,0.0,0.0,0.0,150870.54222143366
2020-04-06,159395.6885354524,72950.15662801471,212242.09034218764,159395.6885354524,159395.6885354524,-20598.637398682633,-20598.637398682633,-20598.637398682633,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,-19273.141955193114,-19273.141955193114,-19273.141955193114,0.0,0.0,0.0,138797.0511367698
2020-04-13,159326.4695507624,55020.679313756606,195514.06600169465,159326.4695507624,159326.4695507624,-29350.78109433206,-29350.78109433206,-29350.78109433206,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-28025.285650842543,-28025.285650842543,-28025.285650842543,0.0,0.0,0.0,129975.68845643036
2020-04-20,159257.25056607244,56403.98472012331,194578.99352720837,159257.25056607244,159257.25056607244,-37727.19909856115,-37727.19909856115,-37727.19909856115,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-36401.70365507164,-36401.70365507164,-36401.70365507164,0.0,0.0,0.0,121530.0514675113
2020-04-27,159188.03158138247,40389.37633370964,180799.34645409763,159188.03158138247,159188.03158138247,-49929.07159944546,-49929.07159944546,-49929.07159944546,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-48603.57615595594,-48603.57615595594,-48603.57615595594,0.0,0.0,0.0,109258.95998193702
2020-05-04,159118.8125966925,19262.08287649342,158951.95443049344,159118.8125966925,159118.8125966925,-64636.53272649237,-64636.53272649237,-64636.53272649237,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-63311.03728300286,-63311.03728300286,-63311.03728300286,0.0,0.0,0.0,94482.27987020013
2020-05-11,159049.5936120025,18375.064620361565,158499.90577606927,159049.5936120025,159049.5936120025,-74449.53857967719,-74449.53857967719,-74449.53857967719,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-73124.04313618767,-73124.04313618767,-73124.04313618767,0.0,0.0,0.0,84600.05503232531
2020-05-18,158980.37460194711,13628.74334640068,152300.40430073763,158980.37460194711,158980.37460194711,-71999.55320141539,-71999.55320141539,-71999.55320141539,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-70674.05775792587,-70674.05775792587,-70674.05775792587,0.0,0.0,0.0,86980.82140053173
2020-10-05,157595.99440083967,87298.40988506636,221407.47153121792,157595.99440083967,157595.99440083967,-2011.6645559296296,-2011.6645559296296,-2011.6645559296296,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-686.169112440113,-686.169112440113,-686.169112440113,0.0,0.0,0.0,155584.32984491004
2020-10-12,157526.77539078429,93193.38293514613,234959.05126943116,157526.77539078429,157526.77539078429,6112.6805375664935,6112.6805375664935,6112.6805375664935,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,7438.175981056009,7438.175981056009,7438.175981056009,0.0,0.0,0.0,163639.45592835077
2020-10-19,157457.55638072893,97247.73973799314,242240.61450841321,157457.55638072893,157457.55638072893,12471.43195788405,12471.43195788405,12471.43195788405,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,13796.927401373567,13796.927401373567,13796.927401373567,0.0,0.0,0.0,169928.98833861298
2020-10-26,157388.33737067354,103368.60426359258,240287.0855252855,157388.33737067354,157388.33737067354,13822.71245900589,13822.71245900589,13822.71245900589,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,15148.207902495407,15148.207902495407,15148.207902495407,0.0,0.0,0.0,171211.04982967942
2020-11-02,157319.1183606182,99054.46879681219,238729.91595738538,157319.1183606182,157319.1183606182,11224.563330464449,11224.563330464449,11224.563330464449,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,12550.058773953964,12550.058773953964,12550.058773953964,0.0,0.0,0.0,168543.68169108263
2020-11-09,157248.12672356504,92656.86743783427,229968.42340063406,157248.12672356504,157248.12672356504,8250.142037541282,8250.142037541282,8250.142037541282,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,9575.637481030799,9575.637481030799,9575.637481030799,0.0,0.0,0.0,165498.26876110633
2020-11-16,157177.13508651193,101359.34088092271,228484.43414919372,157177.13508651193,157177.13508651193,7819.56863221558,7819.56863221558,7819.56863221558,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,9145.064075705097,9145.064075705097,9145.064075705097,0.0,0.0,0.0,164996.7037187275
2020-11-23,157106.1434494588,103198.39499713137,235559.5085543042,157106.1434494588,157106.1434494588,10693.734164066054,10693.734164066054,10693.734164066054,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,12019.229607555571,12019.229607555571,12019.229607555571,0.0,0.0,0.0,167799.87761352485
2020-11-30,157035.1518124057,107571.06968994063,244388.038333454,157035.1518124057,157035.1518124057,15508.14378896421,15508.14378896421,15508.14378896421,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,16833.639232453726,16833.639232453726,16833.639232453726,0.0,0.0,0.0,172543.2956013699
2020-12-07,156964.16017535256,102229.24114295801,242518.54249538895,156964.16017535256,156964.16017535256,18758.62701538063,18758.62701538063,18758.62701538063,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,20084.122458870148,20084.122458870148,20084.122458870148,0.0,0.0,0.0,175722.7871907332
2020-12-14,156893.16853829945,103353.76552089311,240061.207070151,156893.16853829945,156893.16853829945,15361.474076345574,15361.474076345574,15361.474076345574,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,16686.96951983509,16686.96951983509,16686.96951983509,0.0,0.0,0.0,172254.642614645
2020-12-21,156819.83281373716,88114.28364651563,228780.90198391431,156819.83281373716,156819.83281373716,2071.76936744808,2071.76936744808,2071.76936744808,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,3397.2648109375964,3397.2648109375964,3397.2648109375964,0.0,0.0,0.0,158891.60218118524
2020-12-28,156746.49708917487,67348.16646677628,205011.62318803216,156746.49708917487,156746.49708917487,-17087.730480272978,-17087.730480272978,-17087.730480272978,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,-15762.23503678346,-15762.23503678346,-15762.23503678346,0.0,0.0,0.0,139658.7666089019
2021-01-04,156673.16136461258,60629.68679401509,197109.75755741706,156673.16136461258,156673.16136461258,-29244.362488408347,-29244.362488408347,-29244.362488408347,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-27918.86704491883,-27918.86704491883,-27918.86704491883,0.0,0.0,0.0,127428.79887620424
2021-01-11,156599.8256400503,72573.00015926916,201372.86193691476,156599.8256400503,156599.8256400503,-20029.512189753736,-20029.512189753736,-20029.512189753736,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-18704.01674626422,-18704.01674626422,-18704.01674626422,0.0,0.0,0.0,136570.31345029655
2021-01-18,156526.489915488,103353.72525505252,237771.6658856018,156526.489915488,156526.489915488,13676.434703049537,13676.434703049537,13676.434703049537,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,15001.930146539054,15001.930146539054,15001.930146539054,0.0,0.0,0.0,170202.92461853754
2021-01-25,156453.15419092574,143568.36722613283,276964.9027940625,156453.15419092574,156453.15419092574,57204.33619518964,57204.33619518964,57204.33619518964,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,58529.83163867915,58529.83163867915,58529.83163867915,0.0,0.0,0.0,213657.4903861154
2021-02-01,156375.96910399207,176692.54913773295,313468.7739946968,156375.96910399207,156375.96910399207,86311.5176004568,86311.5176004568,86311.5176004568,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,87637.01304394631,87637.01304394631,87637.01304394631,0.0,0.0,0.0,242687.48670444888
2021-02-08,156298.78401705847,176161.68293567706,312863.69561917835,156298.78401705847,156298.78401705847,85182.03111517717,85182.03111517717,85182.03111517717,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,86507.5265586667,86507.5265586667,86507.5265586667,0.0,0.0,0.0,241480.81513223564
2021-02-15,156221.5989301248,143843.7503981056,283885.7601016206,156221.5989301248,156221.5989301248,58566.75910554213,58566.75910554213,58566.75910554213,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,59892.25454903165,59892.25454903165,59892.25454903165,0.0,0.0,0.0,214788.35803566693
2021-02-22,156144.4138431912,113341.38547126926,247076.1367077012,156144.4138431912,156144.4138431912,26741.72841480829,26741.72841480829,26741.72841480829,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,28067.22385829781,28067.22385829781,28067.22385829781,0.0,0.0,0.0,182886.14225799948
2021-03-01,156067.22875625754,94283.54941911482,234642.87668894566,156067.22875625754,156067.22875625754,8045.9523542788575,8045.9523542788575,8045.9523542788575,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,9371.447797768375,9371.447797768375,9371.447797768375,0.0,0.0,0.0,164113.1811105364
2021-03-08,155990.04366932393,93417.74561463196,225702.74234283104,155990.04366932393,155990.04366932393,5343.42622484519,5343.42622484519,5343.42622484519,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,6668.921668334706,6668.921668334706,6668.921668334706,0.0,0.0,0.0,161333.46989416913
2021-03-15,155896.10868415845,93916.55439651599,234453.0091333621,155896.10868415845,155896.10868415845,7924.647170645219,7924.647170645219,7924.647170645219,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,9250.142614134737,9250.142614134737,9250.142614134737,0.0,0.0,0.0,163820.75585480366
2021-03-22,155802.17369899296,91774.62204001118,232658.53267742338,155802.17369899296,155802.17369899296,4595.707567141545,4595.707567141545,4595.707567141545,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,5921.203010631062,5921.203010631062,5921.203010631062,0.0,0.0,0.0,160397.8812661345
2021-03-29,155708.23871382748,82762.45078838381,218031.6849004813,155708.23871382748,155708.23871382748,-6287.3914195803745,-6287.3914195803745,-6287.3914195803745,-1325.4954434895167,-1325.4954434895167,-1325.4954434895167,-4961.895976090858,-4961.895976090858,-4961.895976090858,0.0,0.0,0.0,149420.8472942471
2021-04-05,155614.30372866202,67265.6139509092,206126.49448521293,155614.30372866202,155614.30372866202,-18681.692613370535,-18681.692613370535,-18681.692613370535,-1325.4954434895164,-1325.4954434895164,-1325.4954434895164,-17356.19716988102,-17356.19716988102,-17356.19716988102,0.0,0.0,0.0,136932.61111529148
